IMname,Category,CorrAnsCat,Location,LocPosX,LocPosY,CorrAnsLoc,word,letterColor,corrAns,congruent,t1_trials.thisRepN,t1_trials.thisTrialN,t1_trials.thisN,t1_trials.thisIndex,t2_trials.thisRepN,t2_trials.thisTrialN,t2_trials.thisN,t2_trials.thisIndex,t3_trials.thisRepN,t3_trials.thisTrialN,t3_trials.thisN,t3_trials.thisIndex,t1_resp.keys,t1_resp.corr,t1_resp.rt,t2_resp.keys,t2_resp.corr,t2_resp.rt,t3_resp.keys,t3_resp.corr,t3_resp.rt,SN,Gender,date,expName,psychopyVersion,frameRate,
stim/nonliving/nonliving007.jpg,2,m,3,-0.5,-0.5,1,,,,,0,0,0,14,,,,,,,,,z,0,0.7726243000070099,,,,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/living/living008.jpg,1,z,4,0.5,-0.5,2,,,,,0,1,1,7,,,,,,,,,m,0,0.7221572999842465,,,,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/living/living005.jpg,1,z,1,-0.5,0.5,4,,,,,0,2,2,4,,,,,,,,,z,1,0.39761580000049435,,,,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/living/living007.jpg,1,z,3,-0.5,-0.5,1,,,,,0,3,3,6,,,,,,,,,z,1,0.31006540000089444,,,,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/nonliving/nonliving002.jpg,2,m,2,0.5,0.5,5,,,,,0,4,4,9,,,,,,,,,m,1,0.33460139998351224,,,,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/living/living004.jpg,1,z,4,0.5,-0.5,2,,,,,0,5,5,3,,,,,,,,,z,1,0.2171766999817919,,,,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/nonliving/nonliving008.jpg,2,m,4,0.5,-0.5,2,,,,,0,6,6,15,,,,,,,,,m,1,0.5066126000019722,,,,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/nonliving/nonliving001.jpg,2,m,1,-0.5,0.5,4,,,,,0,7,7,8,,,,,,,,,z,0,0.49100400001043454,,,,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/nonliving/nonliving006.jpg,2,m,2,0.5,0.5,5,,,,,0,8,8,13,,,,,,,,,m,1,0.5197356000135187,,,,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/living/living002.jpg,1,z,2,0.5,0.5,5,,,,,0,9,9,1,,,,,,,,,m,0,0.33699770001112483,,,,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/living/living001.jpg,1,z,1,-0.5,0.5,4,,,,,0,10,10,0,,,,,,,,,z,1,0.5872268000093754,,,,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/living/living006.jpg,1,z,2,0.5,0.5,5,,,,,0,11,11,5,,,,,,,,,z,1,0.3986354999942705,,,,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/nonliving/nonliving004.jpg,2,m,4,0.5,-0.5,2,,,,,0,12,12,11,,,,,,,,,m,1,0.5879564999777358,,,,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/nonliving/nonliving003.jpg,2,m,3,-0.5,-0.5,1,,,,,0,13,13,10,,,,,,,,,m,1,0.7779895999992732,,,,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/living/living003.jpg,1,z,3,-0.5,-0.5,1,,,,,0,14,14,2,,,,,,,,,z,1,0.6109268000000156,,,,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/nonliving/nonliving005.jpg,2,m,1,-0.5,0.5,4,,,,,0,15,15,12,,,,,,,,,z,0,0.7899781999876723,,,,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
,,,,,,,파랑,red,left,0,,,,,0,0,0,7,,,,,,,,left,1,0.5772338999959175,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
,,,,,,,빨강,green,down,0,,,,,0,1,1,1,,,,,,,,down,1,0.8511584999796469,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
,,,,,,,초록,blue,right,0,,,,,0,2,2,4,,,,,,,,right,1,0.6562542999745347,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
,,,,,,,초록,green,down,1,,,,,0,3,3,3,,,,,,,,down,1,0.6302881999872625,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
,,,,,,,초록,red,left,0,,,,,0,4,4,5,,,,,,,,left,1,0.6255874000198673,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
,,,,,,,빨강,blue,right,0,,,,,0,5,5,2,,,,,,,,right,1,0.8535765999986324,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
,,,,,,,빨강,red,left,1,,,,,0,6,6,0,,,,,,,,left,1,0.6387944000016432,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
,,,,,,,파랑,green,down,0,,,,,0,7,7,8,,,,,,,,down,1,0.6798849999904633,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
,,,,,,,파랑,blue,right,1,,,,,0,8,8,6,,,,,,,,right,1,0.617554199998267,,,,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/living/living007.jpg,1,z,3,-0.5,-0.5,1,,,,,,,,,,,,,0,0,0,6,,,,,,,num_4,0,0.7562736999825574,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/nonliving/nonliving003.jpg,2,m,3,-0.5,-0.5,1,,,,,,,,,,,,,0,1,1,10,,,,,,,num_1,0,0.9602917000011075,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/nonliving/nonliving002.jpg,2,m,2,0.5,0.5,5,,,,,,,,,,,,,0,2,2,9,,,,,,,num_5,0,0.9332053000107408,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/nonliving/nonliving001.jpg,2,m,1,-0.5,0.5,4,,,,,,,,,,,,,0,3,3,8,,,,,,,num_4,0,0.9089289999974426,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/nonliving/nonliving007.jpg,2,m,3,-0.5,-0.5,1,,,,,,,,,,,,,0,4,4,14,,,,,,,num_1,0,0.9474990000016987,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/living/living005.jpg,1,z,1,-0.5,0.5,4,,,,,,,,,,,,,0,5,5,4,,,,,,,num_4,0,1.5958810999873094,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/living/living006.jpg,1,z,2,0.5,0.5,5,,,,,,,,,,,,,0,6,6,5,,,,,,,num_5,0,1.0313899999891873,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/nonliving/nonliving006.jpg,2,m,2,0.5,0.5,5,,,,,,,,,,,,,0,7,7,13,,,,,,,num_2,0,1.133101399987936,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/living/living008.jpg,1,z,4,0.5,-0.5,2,,,,,,,,,,,,,0,8,8,7,,,,,,,num_4,0,1.0460177000204567,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/nonliving/nonliving008.jpg,2,m,4,0.5,-0.5,2,,,,,,,,,,,,,0,9,9,15,,,,,,,num_5,0,1.1365789999836124,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/nonliving/nonliving005.jpg,2,m,1,-0.5,0.5,4,,,,,,,,,,,,,0,10,10,12,,,,,,,num_4,0,0.8911222000024281,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/living/living004.jpg,1,z,4,0.5,-0.5,2,,,,,,,,,,,,,0,11,11,3,,,,,,,num_5,0,1.283054200001061,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/living/living001.jpg,1,z,1,-0.5,0.5,4,,,,,,,,,,,,,0,12,12,0,,,,,,,num_2,0,1.537735599995358,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/living/living002.jpg,1,z,2,0.5,0.5,5,,,,,,,,,,,,,0,13,13,1,,,,,,,num_5,0,0.9374799000215717,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/living/living003.jpg,1,z,3,-0.5,-0.5,1,,,,,,,,,,,,,0,14,14,2,,,,,,,num_1,0,1.6672388000006322,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
stim/nonliving/nonliving004.jpg,2,m,4,0.5,-0.5,2,,,,,,,,,,,,,0,15,15,11,,,,,,,num_2,0,1.1767352999886498,99,f,2020_Aug_16_1745,srcMEM_v1,2020.1.2,59.73929770869027,
